period,pmean,pmedian,smean,smedian
baseline,0.08212010697869972,0.0806060606060606,0.4984756142025859,0.4972222222222223
2020,0.06965037980916418,0.0707524985302763,0.4977886380190534,0.5035714285714286
2021,0.08162857102852449,0.07383540372670808,0.49666504785049254,0.503621031746032
2022,0.07312643174631958,0.05720073242540563,0.4762364480946019,0.48199786324786326
2023,0.08151157306586906,0.07295062208656677,0.4980388831501428,0.49909090909090914
2024,0.07655373222240593,0.06316062409812409,0.48468027691443394,0.49000000000000005
