name	included	major
sean-nós	0	0
sea shanties	0	0
séga	0	0
seggae	0	0
semba	0	0
sephardic music	0	0
sequencer & tracker	0	0
serbian folk music	0	0
serialism	0	0
sertanejo	0	0
sertanejo de raiz	0	0
sertanejo romântico	0	0
sertanejo universitário	0	0
sevdalinka	0	0
sevillanas	0	0
seychelles & mascarene islands music	0	0
shaʻabi	0	0
shadow music	0	0
shangaan electro	0	0
shaoxing opera	0	0
shashmaqam	0	0
shetland & orkney folk music	0	0
shibuya-kei	0	0
shidaiqu	0	0
shinkyoku	0	0
shoegaze	1	0
shōmyō	0	0
shona mbira music	0	0
show tunes	0	0
sierreño	0	0
sinawi	0	0
singeli	0	0
singer-songwriter	1	1
sinhalese folk music	0	0
ska	0	0
ska punk	0	0
skate punk	0	0
sketch comedy	0	0
skiffle	0	0
skiladika	0	0
skinhead reggae	0	0
skweee	0	0
slack-key guitar	0	0
slam death metal	0	0
slam poetry	0	0
slap house	0	0
slavic folk music	0	0
slovak folk music	0	0
slovenian folk music	0	0
slowcore	0	0
sludge metal	0	0
smooth jazz	0	0
smooth soul	0	0
snap	0	0
soca	0	0
soft rock	1	0
sōkyoku	0	0
son calentano	0	0
son cubano	0	0
songhai music	0	0
songo	0	0
son huasteco	0	0
sonido donosti	0	0
son istmeño	0	0
son jarocho	0	0
sonorism	0	0
sophisti-pop	1	0
sotho-tswana folk music	0	0
soukous	0	0
soul	0	0
soul blues	0	0
soul jazz	0	0
sound art	0	0
sound collage	0	0
sound poetry	0	0
sounds and effects	0	0
soundtracks	0	0
south asian classical music	0	0
south asian folk music	0	0
south asian music	0	0
southeast asian classical music	0	0
southeast asian folk music	0	0
southeast asian music	0	0
southern african folk music	0	0
southern african music	0	0
southern gospel	0	0
southern hip hop	0	0
southern metal	0	0
southern rock	0	0
southern soul	0	0
soviet estrada	0	0
space age pop	0	0
space ambient	0	0
space disco	0	0
space rock	0	0
spacesynth	0	0
spaghetti western	0	0
spanish classical music	0	0
spanish folk music	0	0
spanish music	0	0
spectralism	0	0
speeches	0	0
speedcore	0	0
speed garage	0	0
speed metal	0	0
spiritual jazz	0	0
spirituals	0	0
splittercore	0	0
spoken word	0	1
spouge	0	0
standards	0	0
stand-up comedy	0	0
starogradska muzika	0	0
stereo	0	0
stochastic music	0	0
stoner metal	0	0
stoner rock	0	0
stornello	0	0
stride	0	0
sufiana kalam	0	0
sufi rock	0	0
sungura	0	0
sunshine pop	0	0
suomisaundi	0	0
surf music	0	0
surf punk	0	0
surf rock	0	0
sutartinės	0	0
swamp blues	0	0
swamp rock	0	0
swedish folk music	0	0
swing	0	0
swing revival	0	0
symphonic black metal	0	0
symphonic metal	0	0
symphonic prog	0	0
symphonic rock	0	0
symphony	0	0
synth funk	1	0
synthpop	1	0
synth punk	0	0
synthwave	0	0
syriac chant	0	0
taarab	0	0
taiko	0	0
tajik traditional music	0	0
takamba	0	0
talempong	0	0
talking blues	0	0
tallava	0	0
tamborera	0	0
tamborito	0	0
tamil folk music	0	0
tammurriata	0	0
tango	0	0
tango nuevo	0	0
tape music	0	0
taquirari	0	0
tarantella	0	0
tarraxinha	0	0
tassu	0	0
tatar folk music	0	0
tchinkoumé	0	0
tchink system	0	0
tech house	0	0
technical death metal	0	0
technical thrash metal	0	0
techno	0	0
techno bass	0	0
techno kayō	0	0
techstep	0	0
tech trance	0	0
tecnobanda	0	0
tecnobrega	0	0
tecnorumba	0	0
teen pop	0	0
tejano	0	0
television music	0	0
telugu folk music	0	0
tembang cianjuran	0	0
terrorcore	0	0
tex-mex	0	0
thai classical music	0	0
thai folk music	0	0
third stream	0	0
third wave ska	0	0
thrashcore	0	0
thrash metal	0	0
throat singing	0	0
thumri	0	0
tibetan traditional music	0	0
tigrinya music	0	0
timba	0	0
timbila	0	0
tishoumaren	0	0
tizita	0	0
tonada chilena	0	0
tonada potosina	0	0
tondero	0	0
tone poem	0	0
tosk polyphony	0	0
totalism	0	0
township bubblegum	0	0
township jive	0	0
tradi-modern	0	0
traditional arabic pop	0	0
traditional black gospel	0	0
traditional cajun	0	0
traditional country	0	0
traditional doom metal	0	0
traditional folk music	0	0
traditional maloya	0	0
traditional pop	1	0
traditional raï	0	0
traditional séga	0	0
tragédie en musique	0	0
trallalero	0	0
trance	0	0
trancecore	0	0
trance metal	0	0
trancestep	0	0
trap	0	0
trap [edm]	0	0
trap metal	0	0
trás-os-montes folk music	0	0
tread	0	0
tribal ambient	0	0
tribal guarachero	0	0
tribal house	0	0
trinidadian cariso	0	0
trip hop	0	0
tropical house	0	0
tropicália	0	0
tropipop	0	0
trot	0	0
trova	0	0
trova yucateca	0	0
truck driving country	0	0
tsapiky	0	0
tsonga disco	0	0
tsugaru shamisen	0	0
tuareg music	0	0
tumba	0	0
tumba francesa	0	0
tumbélé	0	0
turbo-folk	0	0
turkic-mongolic traditional music	0	0
turkish black sea region folk music	0	0
turkish classical music	0	0
turkish folk music	0	0
turkish mevlevi music	0	0
turkish music	0	0
turkish pop	0	0
turkmen traditional music	0	0
turntable music	0	0
turntablism	0	0
tuvan throat singing	0	0
twee pop	1	0
twerk	0	0
uk82	0	0
uk bass	0	0
uk drill	0	0
uk funky	0	0
uk garage	0	0
uk hardcore	0	0
uk hard house	0	0
uk hip hop	0	0
ukrainian folk music	0	0
unyago	0	0
uplifting trance	0	0
upopo	0	0
uptempo hardcore	0	0
urban cowboy	0	0
urumi melam	0	0
us power metal	0	0
utopian virtual	0	0
uyghur music	0	0
uzbek traditional music	0	0
uzun hava	0	0
vallenato	0	0
vals criollo	0	0
vanera	0	0
vanguarda paulista	0	0
vapor	1	0
vaportrap	0	0
vaporwave	1	0
vaudeville	0	0
vaudeville blues	0	0
video game music	0	0
vietnamese bolero	0	0
vietnamese classical music	0	0
vietnamese folk music	0	0
vietnamese music	0	0
vietnamese opera	0	0
viking metal	0	0
viking rock	0	0
vinahouse	0	0
virgin islander cariso	0	0
visor	0	0
visual kei	0	0
vocal group	0	0
vocal jazz	1	0
vocal surf	0	0
vocal trance	0	0
volkstümliche musik	0	0
v-pop	0	0
waka	0	0
walloon folk music	0	0
war metal	0	0
warsaw city folk	0	0
wassoulou	0	0
waulking song	0	0
wave	0	0
weightless	0	0
welsh folk music	0	0
west african music	0	0
west asian folk music	0	0
west asian music	0	0
west coast hip hop	0	0
western classical music	0	0
western swing	0	0
whale song	0	0
witch house	1	0
wolof music	0	0
wonky	0	0
wonky techno	0	0
work songs	0	0
xote	0	0
yacht rock	0	0
yaraví	0	0
yass	0	0
yayue	0	0
yé-yé	0	0
yiddish folksong	0	0
yodeling	0	0
yoruba music	0	0
yukar	0	0
zamba	0	0
zamrock	0	0
zarzuela	0	0
zeuhl	0	0
zeybek	0	0
zhabdro gorgom	0	0
ziglibithy	0	0
zinli	0	0
znamenny chant	0	0
zoblazo	0	0
zohioliin duu	0	0
zolo	0	0
zouglou	0	0
zouk	0	0
zouk love	0	0
zydeco	0	0
