name	included	major
chicago blues	0	0
chicago hard house	0	0
chicago house	0	0
chicago soul	0	0
chicano rap	0	0
children's music	0	0
chilena	0	0
chillstep	0	0
chillwave	1	0
chimurenga	0	0
chinese classical music	0	0
chinese folk music	0	0
chinese music	0	0
chinese opera	0	0
chipmunk soul	0	0
chiptune	0	0
chopped and screwed	0	0
choral	0	0
choro	0	0
chotis madrileño	0	0
christian hip hop	0	0
christian liturgical music	0	0
christian rock	0	0
christmas music	0	0
chutney	0	0
chuvash folk music	0	0
cilokaq	0	0
cinematic classical	0	0
ciranda	0	0
circassian folk music	0	0
circus march	0	0
city pop	0	0
classical crossover	0	0
classical march	0	0
classical music	0	1
classical period	0	0
classical waltz	0	0
close harmony	0	0
cloud rap	0	0
cocktail nation	0	0
coco	0	0
coladeira	0	0
coldwave	1	0
colinde	0	0
comedy	0	0
comedy rap	0	0
comedy rock	0	0
comorian music	0	0
compas	0	0
complextro	0	0
concerto	0	0
conducted improvisation	0	0
conga	0	0
conscious hip hop	0	0
contemporary country	0	0
contemporary folk	0	0
contemporary r&b	1	0
cool jazz	0	0
coon song	0	0
copla	0	0
coptic music	0	0
cornish folk music	0	0
corrido	0	0
corsican folk music	0	0
country	0	1
country & irish	0	0
country blues	0	0
country boogie	0	0
country gospel	0	0
countrypolitan	0	0
country pop	1	0
country rap	0	0
country rock	0	0
country soul	1	0
country yodeling	0	0
coupé-décalé	0	0
cowboy	0	0
cowpunk	0	0
c-pop	0	0
cretan folk music	0	0
croatian folk music	0	0
crossbreed	0	0
crossover thrash	0	0
crunk	0	0
crunkcore	0	0
crust punk	0	0
csango folk music	0	0
cuarteto	0	0
cuban charanga	0	0
cuban music	0	0
cuban rumba	0	0
cubaton	0	0
cueca	0	0
cumbia	0	0
cumbia argentina	0	0
cumbia cheta	0	0
cumbia mexicana	0	0
cumbia norteña mexicana	0	0
cumbia peruana	0	0
cumbia santafesina	0	0
cumbia sonidera	0	0
cumbia villera	0	0
cuplé	0	0
currulao	0	0
cybergrind	0	0
cyber metal	0	0
czech folk music	0	0
dabke	0	0
dagomba music	0	0
dance	0	1
dancefloor drum and bass	0	0
dancehall	0	0
dance-pop	1	0
dance-punk	0	0
dang-ak	0	0
dangdut	0	0
dangdut koplo	0	0
danish folk music	0	0
danmono	0	0
dansbandsmusik	0	0
dansktop	0	0
danzón	0	0
dark ambient	0	0
dark cabaret	1	0
dark electro	0	0
dark folk	0	0
dark jazz	0	0
dark psytrance	0	0
darkside hardcore	0	0
darkstep	0	0
darksynth	0	0
darkwave	1	0
d-beat	0	0
death 'n' roll	0	0
deathcore	0	0
death doom metal	0	0
deathgrind	0	0
death industrial	0	0
death metal	0	0
deathrock	0	0
deathstep	0	0
deconstructed club	0	0
deejay	0	0
deep funk	0	0
deep house	0	0
deep soul	0	0
delta blues	0	0
dembow	0	0
dennery segment	0	0
denpa	0	0
depressive black metal	0	0
descarga	0	0
descriptor	0	0
detroit techno	0	0
deutschpunk	0	0
deutschrock	0	0
dhrupad	0	0
digital cumbia	0	0
digital dancehall	0	0
digital hardcore	0	0
dimotika	0	0
dirty south	0	0
disco	1	0
disco polo	0	0
disco rap	0	0
dixieland	0	0
djanba	0	0
djent	0	0
doina	0	0
dongjing	0	0
doomcore	0	0
doom metal	0	0
doo-wop	0	0
doskpop	0	0
downtempo	0	0
dream pop	1	0
dreampunk	0	0
dream trance	0	0
drill	0	0
drill and bass	0	0
drone	0	0
drone metal	0	0
drum and bass	0	0
drumfunk	0	0
drumstep	0	0
dub	0	0
dub poetry	0	0
dubstep	0	0
dubstyle	0	0
dub techno	0	0
duma	0	0
dunedin sound	0	0
dungeon synth	0	0
duranguense	0	0
dutch cabaret	0	0
dutch folk music	0	0
dutch house	0	0
eai	0	0
east african music	0	0
east asian classical music	0	0
east asian folk music	0	0
east asian music	0	0
east coast hip hop	0	0
easycore	0	0
easy listening	0	0
ebm	1	0
ecm style jazz	0	0
educational music	0	0
electric blues	0	0
electric texas blues	0	0
electro	0	0
electroacoustic	0	0
electroclash	0	0
electro-disco	0	0
electro house	0	0
electro-industrial	0	0
electro latino	0	0
electronic	1	1
electronic dance music	1	0
electropop	1	0
electro swing	0	0
electrotango	0	0
eleki	0	0
emo	1	0
emocore	0	0
emo-pop	1	0
emo rap	1	0
emoviolence	0	0
english folk music	0	0
enka	0	0
entechna	0	0
entechna laika	0	0
epic collage	0	0
epic music	0	0
estonian folk music	0	0
ethereal wave	0	0
ethio-jazz	0	0
ethiopian church music	0	0
euphoric hardstyle	0	0
eurobeat	0	0
eurodance	0	0
euro-disco	0	0
euro house	0	0
european folk music	0	0
european free jazz	0	0
europop	0	0
euro-trance	0	0
euskal kantagintza berria	0	0
ewe music	0	0
exotica	0	0
experimental	1	1
experimental big band	0	0
experimental hip hop	0	0
experimental rock	0	0
expressionism	0	0
extratone	0	0
fado	0	0
fado de coimbra	0	0
fairy tales	0	0
famo	0	0
fanfare	0	0
fantezi	0	0
faroese folk music	0	0
festival progressive house	0	0
fidget house	0	0
field hollers	0	0
field recordings	0	0
fijian music	0	0
filin	0	0
filmi	0	0
film score	0	0
film soundtrack	0	0
finnish folk music	0	0
finnish tango	0	0
flamenco	0	0
flamenco jazz	0	0
flamenco nuevo	0	0
flamenco pop	0	0
flashcore	0	0
flemish folk music	0	0
flex dance music	0	0
fm synthesis	0	0
folk	0	1
folk baroque	0	0
folkhop	0	0
folk metal	0	0
folk pop	1	0
folk punk	0	0
folk rock	0	0
folktronica	1	0
fon music	0	0
footwork	0	0
forró	0	0
forró eletrônico	0	0
forró universitário	0	0
freakbeat	0	0
freak folk	0	0
free folk	0	0
freeform hardcore	0	0
free improvisation	0	0
free jazz	0	0
freestyle	0	0
freetekno	0	0
french-canadian folk music	0	0
french caribbean music	0	0
frenchcore	0	0
french folk music	0	0
french hip hop	0	0
french house	0	0
french pop	0	0
frevo	0	0
fuji	0	0
fula music	0	0
full-on psytrance	0	0
funaná	0	0
funeral doom metal	0	0
fungi	0	0
funk	0	0
funk 150 bpm	0	0
